day,sum(bid_price)
2024-05-29,708991.5137999994
2024-08-16,712696.6175000002
2024-12-11,713925.2111999994
2024-10-24,712010.5408999999
2024-02-08,711323.2656000012
2024-06-20,709343.490700001
2024-05-30,712974.0064999985
2024-02-16,711291.4794000004
2024-12-12,712238.8236999998
2024-08-12,712998.9937000005
2024-06-22,713079.4387
2024-04-18,713705.6457000007
2024-01-09,710955.6126999992
2024-01-16,714100.3674999994
2024-11-12,710708.765500001
2024-08-28,712941.9912000004
2024-04-15,712881.6526
2024-01-22,713958.7709999997
2024-06-25,713685.8520999998
2024-06-27,711226.1101000009
2024-06-06,711031.5966999999
2024-10-01,710952.6159999992
2024-12-21,712258.803999999
2024-10-04,716597.9062000008
2024-06-23,709718.4947000012
2024-04-03,711572.0235999994
2024-09-05,710953.1834000001
2024-08-01,715290.9194999991
2024-03-06,713582.5663999998
2024-02-10,706903.2902999998
2024-08-29,712381.5521999991
2024-03-22,711632.0863999999
2024-10-31,710697.1145999992
2024-07-20,710739.6405000002
2024-07-22,713223.9048999993
2024-05-09,713714.1460000004
2024-10-25,714144.0123999999
2024-09-11,711977.9887000007
2024-12-19,713812.5507
2024-12-18,714122.6564000006
2024-02-15,712602.5592000006
2024-03-12,712648.0850999996
2024-06-21,713473.0659000003
2024-12-04,715134.5202000012
2024-05-20,711208.7608999988
2024-11-08,710064.9916999998
2024-01-27,711665.3212000006
2024-01-14,714339.7235999987
2024-07-11,712199.4621000012
2024-08-31,712150.4421999989
2024-10-13,715881.6651000016
2024-09-10,710821.5366999998
2024-03-16,715417.3872999988
2024-03-05,710682.074
2024-10-05,712422.4389999995
2024-09-15,712523.7745999993
2024-04-16,710576.9954000002
2024-10-17,709679.997700002
2024-07-03,709863.4040999998
2024-09-01,712038.7971999996
2024-12-23,711227.8089999998
2024-11-28,712697.0192999999
2024-07-13,714003.6308000013
2024-11-04,709573.4563999996
2024-05-25,710740.1718
2024-02-02,711020.7929999992
2024-12-05,712828.6159999996
2024-10-12,714182.8278000021
2024-05-28,715229.8558000011
2024-04-17,711063.9883999998
2024-02-09,713927.0290999995
2024-03-21,714584.068
2024-02-17,710344.1695999992
2024-11-09,712900.896599999
2024-11-13,713884.4398999999
2024-08-24,712793.7972000011
2024-03-11,709068.8656999995
2024-07-07,715594.5257000003
2024-11-23,715169.8746000002
2024-06-13,712312.3968000002
2024-12-14,711226.6825999983
2024-05-18,712399.9900000005
2024-05-19,711768.4141000008
2024-01-18,713379.7186000006
2024-06-03,713188.687399999
2024-08-09,713602.791999999
2024-02-04,714469.269999998
2024-12-28,713693.1583000012
2024-08-10,712124.3636000002
2024-01-11,712626.8798999992
2024-12-20,715102.7916000002
2024-04-09,715396.5180000007
2024-01-29,712471.1997000009
2024-03-31,710540.2257000005
2024-04-29,713300.6501000004
2024-07-16,713452.1422999987
2024-05-26,712992.4113999997
2024-04-24,715309.0517999994
2024-12-30,712863.3501999996
2024-08-19,715004.8989000006
2024-09-03,712244.3057999996
2024-12-10,712363.8320999998
2024-08-25,711369.9971999998
2024-04-01,709703.1758999986
2024-04-30,708483.4099999986
2024-06-08,711160.499599998
2024-11-25,714058.1940000001
2024-07-12,715066.7272000001
2024-12-07,710603.9518000005
2024-07-31,711677.1923999995
2024-11-17,706754.3614000002
2024-08-05,713124.6199000011
2024-08-18,708653.4531
2024-08-11,713910.6471000001
2024-06-04,713650.5546999993
2024-02-26,712789.1246999995
2024-06-11,710464.2764000008
2024-10-23,710678.9268999996
2024-06-18,712641.0869999996
2024-09-21,713043.8453999992
2024-09-25,711680.8632999999
2024-09-19,711543.4186000004
2024-09-30,712065.0878
2024-06-05,713504.5439
2024-08-26,714818.1559999991
2024-03-10,714387.9759999992
2024-06-07,712121.1440999991
2024-08-15,713435.4098999999
2024-04-04,712791.2489999994
2024-03-01,710398.2070000004
2024-05-15,710788.1936000002
2024-04-22,711298.3215000005
2024-02-05,714005.9378
2024-06-28,710973.4354000007
2024-07-06,715001.0607000001
2024-05-13,711251.7360999999
2024-01-10,711915.9745999993
2024-01-12,712716.0013999998
2024-06-01,712929.5203999997
2024-06-15,714531.2441000001
2024-05-21,712153.6687999989
2024-11-27,714171.4621000004
2024-08-21,715712.7288000003
2024-11-16,713835.5738999997
2024-08-30,711785.0603000007
2024-01-30,713346.7715999992
2024-03-02,711878.1850000006
2024-11-22,711582.7242000005
2024-11-26,712286.231200001
2024-03-07,713320.2948000019
2024-09-29,715325.6956999993
2024-02-20,714021.4856999996
2024-10-21,710521.3820000007
2024-08-14,714410.5640000001
2024-09-20,711873.8702000006
2024-04-27,710550.885800001
2024-04-13,716188.9164000003
2024-12-02,713393.0096999994
2024-06-30,711116.3847999993
2024-12-31,12.242
2024-02-21,709890.3959000014
2024-01-06,712183.1630000002
2024-09-26,714009.4843000004
2024-10-10,713340.0423999999
2024-01-13,710529.4043000011
2024-02-28,713538.5561999994
2024-10-03,712859.0222999996
2024-10-20,710095.6719000009
2024-02-18,714143.9772999997
2024-03-19,712735.1039000007
2024-06-17,712560.3230999999
2024-03-04,711629.4862000003
2024-07-29,712489.8039000003
2024-10-18,712645.2484000006
2024-02-22,709492.9547999996
2024-01-19,712069.0690999998
2024-12-15,712043.237900001
2024-03-27,713011.2073999993
2024-08-04,714214.0611000003
2024-11-21,714103.0743999983
2024-12-16,711588.5847999997
2024-02-24,711006.3562999994
2024-06-29,712886.5496
2024-01-05,714229.6191999995
2024-12-06,708611.3696999999
2024-11-14,709855.7017000001
2024-02-07,711524.2801999995
