advertiser_id,type,count_star()
401,serve,98253
980,serve,98125
1473,serve,98114
964,serve,98020
435,serve,97925
1580,serve,97899
1487,serve,97874
771,serve,97864
1003,serve,97862
1046,serve,97858
1178,serve,97857
710,serve,97853
256,serve,97849
1621,serve,97849
43,serve,97816
27,serve,97813
175,serve,97811
717,serve,97810
1622,serve,97806
1104,serve,97806
1300,serve,97798
814,serve,97795
446,serve,97782
372,serve,97773
1391,serve,97771
418,serve,97767
908,serve,97755
554,serve,97742
1153,serve,97736
455,serve,97734
751,serve,97733
1325,serve,97730
1080,serve,97727
604,serve,97726
616,serve,97723
323,serve,97720
156,serve,97720
474,serve,97717
159,serve,97713
266,serve,97712
1301,serve,97707
290,serve,97702
34,serve,97697
891,serve,97689
1239,serve,97685
1339,serve,97685
1010,serve,97684
790,serve,97681
403,serve,97680
269,serve,97680
1508,serve,97679
41,serve,97677
89,serve,97677
99,serve,97677
553,serve,97675
574,serve,97670
690,serve,97669
1340,serve,97667
445,serve,97666
685,serve,97666
391,serve,97658
86,serve,97652
1193,serve,97651
47,serve,97651
267,serve,97647
603,serve,97647
865,serve,97645
663,serve,97643
969,serve,97640
592,serve,97637
473,serve,97636
1033,serve,97629
885,serve,97629
1617,serve,97628
992,serve,97628
113,serve,97627
16,serve,97626
928,serve,97626
748,serve,97622
949,serve,97621
1535,serve,97621
1316,serve,97619
199,serve,97615
151,serve,97612
1587,serve,97610
692,serve,97608
600,serve,97607
531,serve,97607
1052,serve,97606
15,serve,97603
63,serve,97603
1493,serve,97602
1619,serve,97599
633,serve,97599
268,serve,97596
625,serve,97595
1504,serve,97594
746,serve,97594
1232,serve,97593
1553,serve,97593
417,serve,97591
1059,serve,97590
758,serve,97588
246,serve,97587
1347,serve,97587
1572,serve,97584
560,serve,97582
610,serve,97581
1348,serve,97580
440,serve,97578
1032,serve,97578
195,serve,97577
614,serve,97576
55,serve,97576
406,serve,97574
346,serve,97574
1263,serve,97572
999,serve,97572
81,serve,97569
103,serve,97569
101,serve,97567
694,serve,97566
674,serve,97566
977,serve,97565
434,serve,97562
1155,serve,97561
1588,serve,97560
166,serve,97560
1469,serve,97560
424,serve,97560
344,serve,97558
607,serve,97557
1470,serve,97555
1599,serve,97554
521,serve,97554
750,serve,97553
1177,serve,97553
97,serve,97551
1424,serve,97550
191,serve,97550
805,serve,97549
57,serve,97548
1523,serve,97548
706,serve,97547
1645,serve,97545
252,serve,97544
134,serve,97544
1574,serve,97543
258,serve,97543
362,serve,97542
1596,serve,97539
443,serve,97539
1410,serve,97537
90,serve,97537
1558,serve,97537
119,serve,97536
10,serve,97535
1408,serve,97535
1643,serve,97535
308,serve,97535
48,serve,97533
109,serve,97533
813,serve,97533
613,serve,97533
986,serve,97532
1020,serve,97529
508,serve,97528
291,serve,97525
23,serve,97522
1118,serve,97521
1142,serve,97517
1237,serve,97516
926,serve,97514
1565,serve,97514
163,serve,97509
708,serve,97508
53,serve,97508
665,serve,97507
437,serve,97506
1548,serve,97506
1383,serve,97505
792,serve,97505
1215,serve,97505
643,serve,97504
349,serve,97504
1393,serve,97503
1423,serve,97500
40,serve,97496
1097,serve,97496
1168,serve,97496
110,serve,97496
1414,serve,97494
796,serve,97493
1229,serve,97493
727,serve,97493
1341,serve,97491
785,serve,97490
145,serve,97490
480,serve,97488
37,serve,97486
644,serve,97486
728,serve,97485
561,serve,97483
73,serve,97483
1601,serve,97481
6,serve,97481
1321,serve,97480
731,serve,97479
1200,serve,97479
244,serve,97478
496,serve,97478
1432,serve,97478
239,serve,97477
552,serve,97476
852,serve,97476
1161,serve,97475
1063,serve,97474
309,serve,97473
271,serve,97473
833,serve,97472
410,serve,97471
231,serve,97470
777,serve,97468
827,serve,97466
92,serve,97466
944,serve,97465
493,serve,97465
204,serve,97465
1406,serve,97463
167,serve,97463
317,serve,97461
71,serve,97461
399,serve,97461
39,serve,97459
1628,serve,97458
427,serve,97458
288,serve,97457
579,serve,97456
1481,serve,97456
21,serve,97454
697,serve,97453
1571,serve,97451
378,serve,97451
1204,serve,97451
881,serve,97451
1653,serve,97450
5,serve,97450
1238,serve,97449
32,serve,97448
280,serve,97448
1516,serve,97445
545,serve,97444
1510,serve,97443
542,serve,97442
183,serve,97441
520,serve,97441
1144,serve,97439
1503,serve,97439
1377,serve,97438
1620,serve,97438
1132,serve,97437
184,serve,97437
585,serve,97436
1,serve,97435
408,serve,97434
182,serve,97433
1639,serve,97433
1375,serve,97432
1071,serve,97432
1262,serve,97432
1545,serve,97430
289,serve,97430
1014,serve,97430
1021,serve,97426
963,serve,97426
668,serve,97425
1197,serve,97425
361,serve,97424
297,serve,97424
1216,serve,97422
1227,serve,97421
662,serve,97419
1311,serve,97418
1314,serve,97418
126,serve,97414
947,serve,97414
656,serve,97413
165,serve,97413
463,serve,97412
450,serve,97412
422,serve,97412
834,serve,97412
510,serve,97410
428,serve,97409
1170,serve,97409
1452,serve,97409
1049,serve,97408
1541,serve,97406
253,serve,97406
305,serve,97406
1198,serve,97406
457,serve,97405
506,serve,97404
606,serve,97403
396,serve,97403
1515,serve,97400
739,serve,97399
1073,serve,97399
201,serve,97398
960,serve,97398
1089,serve,97397
822,serve,97395
1284,serve,97395
867,serve,97394
800,serve,97393
390,serve,97393
1363,serve,97393
388,serve,97392
1265,serve,97392
161,serve,97392
1456,serve,97391
384,serve,97391
479,serve,97390
1600,serve,97390
1499,serve,97390
46,serve,97389
1384,serve,97388
993,serve,97386
847,serve,97386
354,serve,97385
1505,serve,97384
755,serve,97383
981,serve,97382
499,serve,97382
203,serve,97381
756,serve,97381
438,serve,97379
1242,serve,97379
630,serve,97378
107,serve,97377
1233,serve,97377
759,serve,97375
938,serve,97375
618,serve,97374
1146,serve,97374
1292,serve,97373
447,serve,97373
826,serve,97373
143,serve,97373
962,serve,97372
525,serve,97372
831,serve,97371
93,serve,97369
536,serve,97369
224,serve,97368
942,serve,97367
1148,serve,97367
695,serve,97366
1356,serve,97363
1078,serve,97362
357,serve,97362
1041,serve,97362
1597,serve,97362
1250,serve,97361
1465,serve,97360
1509,serve,97359
76,serve,97359
1043,serve,97359
1380,serve,97359
173,serve,97358
918,serve,97357
878,serve,97357
453,serve,97357
202,serve,97356
355,serve,97356
220,serve,97355
1404,serve,97354
1109,serve,97354
1411,serve,97354
528,serve,97353
1180,serve,97353
921,serve,97353
382,serve,97352
1095,serve,97352
647,serve,97352
932,serve,97352
1031,serve,97351
1589,serve,97350
1352,serve,97350
225,serve,97349
1326,serve,97348
1208,serve,97347
1517,serve,97347
743,serve,97347
886,serve,97345
217,serve,97343
1554,serve,97342
901,serve,97341
466,serve,97341
509,serve,97341
1266,serve,97340
405,serve,97339
801,serve,97339
17,serve,97338
66,serve,97337
275,serve,97337
952,serve,97336
54,serve,97336
332,serve,97335
776,serve,97335
298,serve,97334
1107,serve,97334
836,serve,97333
1598,serve,97333
227,serve,97331
1401,serve,97331
1459,serve,97331
1525,serve,97331
688,serve,97331
724,serve,97330
78,serve,97329
773,serve,97328
1467,serve,97328
432,serve,97326
677,serve,97326
1189,serve,97326
905,serve,97325
1443,serve,97325
946,serve,97324
1143,serve,97324
1472,serve,97322
286,serve,97321
1256,serve,97320
623,serve,97320
736,serve,97320
1454,serve,97320
914,serve,97318
1009,serve,97318
1632,serve,97317
840,serve,97317
1061,serve,97317
1606,serve,97316
140,serve,97316
234,serve,97314
481,serve,97314
59,serve,97314
1489,serve,97313
240,serve,97312
1496,serve,97312
889,serve,97312
648,serve,97311
858,serve,97311
1064,serve,97311
328,serve,97310
306,serve,97310
1053,serve,97309
1334,serve,97308
206,serve,97308
91,serve,97308
1480,serve,97307
1331,serve,97304
1207,serve,97304
1327,serve,97303
458,serve,97303
1169,serve,97302
80,serve,97302
138,serve,97302
1244,serve,97301
1513,serve,97300
313,serve,97299
558,serve,97298
454,serve,97298
326,serve,97298
270,serve,97297
1376,serve,97296
511,serve,97296
1217,serve,97296
1141,serve,97295
169,serve,97294
515,serve,97294
1522,serve,97294
94,serve,97294
526,serve,97293
402,serve,97293
356,serve,97293
823,serve,97292
987,serve,97292
433,serve,97291
210,serve,97291
730,serve,97291
1012,serve,97290
1494,serve,97290
828,serve,97290
877,serve,97290
407,serve,97289
1249,serve,97289
1294,serve,97289
621,serve,97288
895,serve,97288
1464,serve,97287
157,serve,97287
1219,serve,97286
672,serve,97286
935,serve,97285
714,serve,97285
1461,serve,97285
321,serve,97285
1182,serve,97284
634,serve,97284
837,serve,97284
915,serve,97284
556,serve,97282
683,serve,97281
312,serve,97281
180,serve,97279
1538,serve,97279
1462,serve,97279
482,serve,97279
640,serve,97277
1479,serve,97277
359,serve,97277
1296,serve,97275
114,serve,97274
1060,serve,97274
988,serve,97272
1654,serve,97272
1544,serve,97272
1199,serve,97271
1044,serve,97270
519,serve,97270
29,serve,97269
1253,serve,97269
866,serve,97269
543,serve,97268
1069,serve,97268
551,serve,97267
232,serve,97267
1498,serve,97266
394,serve,97266
669,serve,97266
660,serve,97265
1630,serve,97265
742,serve,97265
1223,serve,97264
658,serve,97264
2,serve,97264
984,serve,97264
961,serve,97263
1051,serve,97263
460,serve,97262
628,serve,97262
345,serve,97261
1602,serve,97261
1312,serve,97261
491,serve,97261
652,serve,97260
476,serve,97259
176,serve,97258
497,serve,97257
213,serve,97256
1492,serve,97255
153,serve,97255
1235,serve,97255
207,serve,97254
641,serve,97254
1096,serve,97254
782,serve,97254
791,serve,97254
241,serve,97253
702,serve,97253
1192,serve,97252
888,serve,97251
904,serve,97250
1366,serve,97250
1072,serve,97250
500,serve,97250
370,serve,97250
285,serve,97249
141,serve,97249
726,serve,97249
559,serve,97248
1579,serve,97248
772,serve,97248
247,serve,97248
154,serve,97248
608,serve,97248
703,serve,97247
1131,serve,97246
601,serve,97245
419,serve,97245
1573,serve,97245
711,serve,97245
1540,serve,97244
516,serve,97244
1422,serve,97244
1149,serve,97243
799,serve,97242
1018,serve,97242
741,serve,97242
1546,serve,97241
26,serve,97241
379,serve,97239
868,serve,97239
566,serve,97239
1613,serve,97238
1392,serve,97238
1203,serve,97238
467,serve,97238
193,serve,97237
1564,serve,97235
233,serve,97235
387,serve,97234
